VID,Speed,Position(X),Position(Y),LID
always_left.0,14,498.10671133133366,508.3469793193358,:0_0_0
always_left.1,12,995.9073993279999,498.4,2o_1
always_right.0,17,727.3921888,501.6,2i_1
always_right.1,0,489.352752,498.4,1i_1
car_flow_1.1,0,472.21430399999997,498.4,1i_1
car_flow_2.1,0,527.785696,501.6,2i_1
emergency_flow1.0,18,498.4,557.5599478568215,4i_1
horizontal.0,9,559.261580608,501.6,2i_1
horizontal.1,7,447.1723655999999,498.4,1i_1
horizontal.2,0,510.647248,501.6,2i_1
horizontal.3,7,899.3872,501.6,2i_1
vertical.1,10,498.4,198.59251895999972,3o_1
vertical.2,11,501.6,852.1392626559999,4o_1
vertical.3,7,501.6,100.61279999999998,3i_1
