VID,Speed,Position(X),Position(Y),LID,max,allowed,Acceleration
always_left.0,16.035844947956342,501.6,478.38937347803306,3i_0,70.0,19.44,-0.25197887535140495
always_right.0,3.9999999999999423,489.69699999999983,498.4,1i_0,70.0,19.44,0.7999999999999998
horizontal.0,5.726500000000063,509.002,501.6,2i_0,70.0,19.44,0.7999999999999998
car_flow_1.0,11.11,991.7880000000002,498.4,2o_0,70.0,11.11,0.0
car_flow_2.0,11.11,498.4,8.013652582034752,3o_0,70.0,11.11,0.0
vertical.0,15.557960768067261,501.6,485.8251176957982,3i_0,70.0,19.44,-3.8820392319327404
emergency_flow1.0,19.035844947956328,501.6,490.4242184259894,3i_0,100.0,19.44,3.0
horizontal.1,3.9999999999999423,509.30300000000017,501.6,2i_0,70.0,19.44,0.7999999999999998
vertical.1,15.280000000000001,501.6,486.659,3i_0,70.0,19.44,-4.16
always_left.1,15.280000000000001,501.6,486.659,3i_0,70.0,19.44,-4.16
always_right.1,2.399999999999988,490.498,498.4,1i_0,70.0,19.44,0.8000000000000003
horizontal.2,2.399999999999988,509.502,501.6,2i_0,70.0,19.44,0.8000000000000003
car_flow_1.1,11.11,998.7890000000004,498.4,2o_0,70.0,11.11,0.0
car_flow_2.1,11.11,498.4,8.01365258203424,3o_0,70.0,11.11,0.0
vertical.2,15.539615273437462,501.6,485.8801541796876,3i_0,70.0,19.44,-3.900384726562539
horizontal.3,3.9999999999999423,509.30300000000017,501.6,2i_0,70.0,19.44,0.7999999999999998
vertical.3,15.280000000000001,501.6,486.659,3i_0,70.0,19.44,-4.16
always_left.2,16.035844947956342,501.6,478.38937347803306,3i_0,70.0,19.44,-0.25197887535140495
always_right.2,4.799546255271459,488.4955462552712,498.4,1i_0,70.0,19.44,0.7995462552715624
horizontal.4,4.799417370898345,511.5045826291019,501.6,2i_0,70.0,19.44,0.799417370898448
car_flow_1.2,11.11,991.7880000000002,498.4,2o_0,70.0,11.11,0.0
car_flow_2.2,11.11,498.4,1.0009999999995784,3o_0,70.0,11.11,0.0
vertical.4,15.539615273437462,501.6,485.8801541796876,3i_0,70.0,19.44,-3.900384726562539
emergency_flow1.1,19.035844947956328,501.6,490.4242184259894,3i_0,100.0,19.44,3.0
horizontal.5,2.399999999999988,509.502,501.6,2i_0,70.0,19.44,0.8000000000000003
vertical.5,15.280000000000001,501.6,486.659,3i_0,70.0,19.44,-4.16
always_left.3,19.44,501.6,485.06900000000047,3i_0,70.0,19.44,0.0
always_right.3,7.400999999999987,490.99800000000005,498.4,1i_0,70.0,19.44,0.7999999999999998
horizontal.6,3.9999999999999423,509.30300000000017,501.6,2i_0,70.0,19.44,0.7999999999999998
car_flow_1.3,11.11,998.7890000000004,498.4,2o_0,70.0,11.11,0.0
car_flow_2.3,11.11,498.4,1.0009999999995784,3o_0,70.0,11.11,0.0
vertical.6,15.539615273437462,501.6,485.8801541796876,3i_0,70.0,19.44,-3.900384726562539
horizontal.7,8.676830078124956,509.002,501.6,2i_0,70.0,19.44,0.7999999999999998
vertical.7,15.280000000000001,501.6,486.659,3i_0,70.0,19.44,-4.16
always_left.4,19.44,501.6,488.50300000000044,3i_0,70.0,19.44,0.0
horizontal.8,8.676830078124944,516.0029999999999,501.6,2i_0,70.0,19.44,0.7999999999999998
always_right.4,8.769763163546903,489.99800000000005,498.4,1i_0,70.0,19.44,0.7999999999999998
car_flow_2.4,11.11,498.4,7.727999999999611,3o_0,70.0,11.11,0.0
vertical.8,15.539615273437462,501.6,485.8801541796876,3i_0,70.0,19.44,-3.900384726562539
car_flow_1.4,11.11,998.7890000000004,498.4,2o_0,70.0,11.11,0.0
emergency_flow1.2,19.439999999999998,501.6,481.50200000000046,3i_0,100.0,19.44,0.0
horizontal.9,7.700999999999956,509.002,501.6,2i_0,70.0,19.44,0.7999999999999998
vertical.9,15.280000000000001,501.6,486.659,3i_0,70.0,19.44,-4.16
always_left.5,19.44,501.6,482.17337004217154,3i_0,70.0,19.44,0.0
horizontal.10,4.799999999999897,511.50400000000036,501.6,2i_0,70.0,19.44,0.7999999999999998
car_flow_2.5,11.11,498.4,1.0009999999995784,3o_0,70.0,11.11,0.0
vertical.10,15.539615273437462,501.6,485.8801541796876,3i_0,70.0,19.44,-3.900384726562539
always_right.5,9.569763168288363,492.56676316354697,498.4,1i_0,70.0,19.44,0.8000000000000007
car_flow_1.5,11.11,998.7890000000004,498.4,2o_0,70.0,11.11,0.0
vertical.11,15.280000000000001,501.6,486.659,3i_0,70.0,19.44,-4.16
horizontal.11,5.201999999999963,509.1,501.6,2i_0,70.0,19.44,0.7999999999999998
always_left.6,19.44,501.6,489.9030000000004,3i_0,70.0,19.44,0.0
always_right.6,2.399999999999988,490.498,498.4,1i_0,70.0,19.44,0.8000000000000003
horizontal.12,6.001999999999939,510.09900000000005,501.6,2i_0,70.0,19.44,0.7999999999999998
car_flow_2.6,11.11,498.4,3.8976610328134598,3o_0,70.0,11.11,0.0
vertical.12,15.539615273437462,501.6,485.8801541796876,3i_0,70.0,19.44,-3.900384726562539
car_flow_1.6,11.11,998.7890000000004,498.4,2o_0,70.0,11.11,0.0
emergency_flow1.3,19.44,501.6,482.9019742798358,3i_0,100.0,19.44,0.0
vertical.13,15.280143720703125,501.6,479.6575688378906,3i_0,70.0,19.44,-4.159856279296877
horizontal.13,6.8019999999999285,510.2980000000001,501.6,2i_0,70.0,19.44,0.7999999999999998
always_left.7,19.44,501.6,490.1046885832146,3i_0,70.0,19.44,0.0
always_right.7,3.9999999999999423,490.69699999999983,498.4,1i_0,70.0,19.44,0.7999999999999998
car_flow_1.7,11.11,998.7890000000004,498.4,2o_0,70.0,11.11,0.0
horizontal.14,7.9250000000000025,509.002,501.6,2i_0,70.0,19.44,0.7999999999999998
vertical.14,15.539615273437462,501.6,485.8801541796876,3i_0,70.0,19.44,-3.900384726562539
car_flow_2.7,11.11,498.4,1.0009999999995784,3o_0,70.0,11.11,0.0
vertical.15,15.280000000000001,501.6,486.659,3i_0,70.0,19.44,-4.16
horizontal.15,7.9250000000000185,516.003,501.6,2i_0,70.0,19.44,0.7999999999999998
always_left.8,19.44,501.6,490.1038442916076,3i_0,70.0,19.44,0.0
always_right.8,19.44,485.83900000000045,498.4,1i_0,70.0,19.44,0.0
horizontal.16,8.724999999999998,514.279,501.6,2i_0,70.0,19.44,0.8000000000000007
vertical.16,15.539615273437462,501.6,485.8801541796876,3i_0,70.0,19.44,-3.900384726562539
car_flow_2.8,11.11,498.4,3.8976610328132892,3o_0,70.0,11.11,0.0
car_flow_1.8,11.11,998.7890000000004,498.4,2o_0,70.0,11.11,0.0
emergency_flow1.4,19.44,501.6,483.10279274270175,3i_0,100.0,19.44,0.0
horizontal.17,9.524999999999988,511.75500000000005,501.6,2i_0,70.0,19.44,0.8000000000000007
vertical.17,9.33817369687502,501.6,486.45165260625,3i_0,70.0,19.44,-4.4999999999999805
always_left.9,19.44,501.6,481.7271583046768,3i_0,70.0,19.44,0.0
always_right.9,19.44,489.9457657407412,498.4,1i_0,70.0,19.44,0.0
horizontal.18,10.324999999999983,508.4310000000001,501.6,2i_0,70.0,19.44,0.8000000000000007
car_flow_1.9,11.11,998.7890000000004,498.4,2o_0,70.0,11.11,0.0
car_flow_2.9,11.11,498.4,7.876999999999782,3o_0,70.0,11.11,0.0
vertical.18,19.44,501.6,484.2000000000009,3i_0,70.0,19.44,0.0
vertical.19,15.280000000000001,501.6,486.659,3i_0,70.0,19.44,-4.16
horizontal.19,10.324999999999958,515.4320000000001,501.6,2i_0,70.0,19.44,0.8000000000000007
always_left.10,19.44,501.6,491.52457915233856,3i_0,70.0,19.44,0.0
always_right.10,19.44,485.7719999999997,498.4,1i_0,70.0,19.44,0.0
horizontal.20,11.124999999999947,511.3080000000002,501.6,2i_0,70.0,19.44,0.8000000000000007
car_flow_1.10,11.11,991.7880000000002,498.4,2o_0,70.0,11.11,0.0
car_flow_2.10,11.11,498.4,6.330499999999688,3o_0,70.0,11.11,0.0
vertical.20,15.539615273437462,501.6,485.8801541796876,3i_0,70.0,19.44,-3.900384726562539
emergency_flow1.5,19.44,501.6,484.52302614165535,3i_0,100.0,19.44,0.0
horizontal.21,11.12499999999993,518.3090000000002,501.6,2i_0,70.0,19.44,0.8000000000000007
vertical.21,14.173454845726724,501.6,482.7437279733624,3i_0,70.0,19.44,-2.4578182819089136
always_left.11,19.44,501.6,485.06900000000047,3i_0,70.0,19.44,0.0
always_right.11,19.44,489.746459259259,498.4,1i_0,70.0,19.44,0.0
horizontal.22,11.924999999999937,513.3850000000002,501.6,2i_0,70.0,19.44,0.8000000000000007
car_flow_1.11,11.11,998.4200000000026,498.4,2o_0,70.0,11.11,0.0
car_flow_2.11,11.11,498.4,7.050437499999589,3o_0,70.0,11.11,0.0
vertical.22,19.44,501.6,484.2000000000009,3i_0,70.0,19.44,0.0
vertical.23,15.280000000000001,501.6,486.659,3i_0,70.0,19.44,-4.16
horizontal.23,12.724999999999913,507.66100000000046,501.6,2i_0,70.0,19.44,0.8000000000000007
always_right.12,19.44,490.94699999999995,498.4,1i_0,70.0,19.44,0.0
horizontal.24,12.724999999999902,514.6620000000005,501.6,2i_0,70.0,19.44,0.8000000000000007
always_left.12,9.616399999999938,501.6,485.89520000000016,3i_0,70.0,19.44,-4.499999999999986
car_flow_1.12,11.11,991.7880000000002,498.4,2o_0,70.0,11.11,0.0
car_flow_2.12,11.11,498.4,10.616986008984725,3o_0,70.0,11.11,0.0
vertical.24,19.44,501.6,484.2000000000009,3i_0,70.0,19.44,0.0
emergency_flow1.6,12.62370868819913,501.6,491.5106000000001,3i_0,100.0,19.44,3.0
horizontal.25,13.524999999999887,508.1380000000006,501.6,2i_0,70.0,19.44,0.8000000000000007
vertical.25,19.44,501.6,484.2000000000009,3i_0,70.0,19.44,0.0
always_left.13,19.44,501.6,483.26850000000024,3i_0,70.0,19.44,0.0
always_right.13,19.44,490.94699999999995,498.4,1i_0,70.0,19.44,0.0
horizontal.26,13.524999999999888,515.1390000000006,501.6,2i_0,70.0,19.44,0.7999999999999972
car_flow_1.13,11.11,991.1130000000005,498.4,2o_0,70.0,11.11,0.0
car_flow_2.13,11.11,498.4,1.0009999999995784,3o_0,70.0,11.11,0.0
vertical.26,19.44,501.6,488.0600000000004,3i_0,70.0,19.44,0.0
horizontal.27,19.44,509.1909999999995,501.6,2i_0,70.0,19.44,0.0
vertical.27,19.44,501.6,484.2000000000009,3i_0,70.0,19.44,0.0
always_left.14,19.44,501.6,483.2685000000003,3i_0,70.0,19.44,0.0
always_right.14,19.44,483.9459999999999,498.4,1i_0,70.0,19.44,0.0
horizontal.28,19.44,516.1919999999998,501.6,2i_0,70.0,19.44,0.0
car_flow_1.14,11.11,991.9130000000005,498.4,2o_0,70.0,11.11,0.0
car_flow_2.14,11.11,498.4,1.0009999999995784,3o_0,70.0,11.11,0.0
vertical.28,3.1999999999999877,501.6,492.62699999999995,3i_0,70.0,19.44,0.7999999999999998
emergency_flow1.7,19.44,501.6,476.22957613168757,3i_0,100.0,19.44,0.0
horizontal.29,19.44,512.0830000000002,501.6,2i_0,70.0,19.44,0.0
vertical.29,1.5999999999999308,501.6,490.52797853859147,3i_0,70.0,19.44,0.7999999999999999
